"sourceIndex","originalName","storedName","sourceUrl","bytes","manifestSha256","actualSha256","disposition","canonicalStoredName","sideEffects"
"63","2nd Invoice - 7314002290_f684ed6b.pdf","referenced-files/b1e383e80fd4_2nd Invoice - 7314002290.pdf","https://comofollowup-ngbxwvy8.manus.space/manus-storage/2nd Invoice - 7314002290_f684ed6b.pdf","29288","b1e383e80fd4d60bb38be7dd701678b1bc058cf11d712b0be26b9d9748747d24","b1e383e80fd4d60bb38be7dd701678b1bc058cf11d712b0be26b9d9748747d24","upload_unique_to_staging","referenced-files/b1e383e80fd4_2nd Invoice - 7314002290.pdf","none"
"64","Chapman_Taylor_Majan_Independent_Proposal_Analysis_2026-09-22_410fe081.pdf","referenced-files/b3aa481200d7_Chapman_Taylor_Majan_Independent_Proposal_Analysis_2026-09-22_410fe081.pdf","https://comofollowup-ngbxwvy8.manus.space/manus-storage/Chapman_Taylor_Majan_Independent_Proposal_Analysis_2026-09-22_410fe081.pdf","97432","b3aa481200d73d6a29c714dc492be2730d291a4f75a2644fc7e09023777a0015","b3aa481200d73d6a29c714dc492be2730d291a4f75a2644fc7e09023777a0015","upload_unique_to_staging","referenced-files/b3aa481200d7_Chapman_Taylor_Majan_Independent_Proposal_Analysis_2026-09-22_410fe081.pdf","none"
"65","3750001-updates_none-87c95729bd469a6c593165b8c02591c4_0b850113.pcm","referenced-files/b5ec48d55fd5_3750001-updates_none-87c95729bd469a6c593165b8c02591c4_0b850113.pcm","https://comofollowup-ngbxwvy8.manus.space/manus-storage/sara-briefings/3750001-updates_none-87c95729bd469a6c593165b8c02591c4_0b850113.pcm","1043226","b5ec48d55fd5b74f99638d42092342f12a988709b06c8f4d0bbccd1032d975e4","b5ec48d55fd5b74f99638d42092342f12a988709b06c8f4d0bbccd1032d975e4","upload_unique_to_staging","referenced-files/b5ec48d55fd5_3750001-updates_none-87c95729bd469a6c593165b8c02591c4_0b850113.pcm","none"
"66","MDL_Proposal_Review_Arabic_ff1c2614.md","referenced-files/ba0fb1023772_MDL_Proposal_Review_Arabic_ff1c2614.md","https://comofollowup-ngbxwvy8.manus.space/manus-storage/MDL_Proposal_Review_Arabic_ff1c2614.md","17682","ba0fb1023772511b6ce069c6f0275f7152d921e339b1e603823193c489add0d5","ba0fb1023772511b6ce069c6f0275f7152d921e339b1e603823193c489add0d5","reuse_source_duplicate","local-assets/MDL_Proposal_Review_Arabic.md","none"
"67","P260902Rev04_MDL_Revised_Fee_Proposal_COMO_Majan_RT040_605e251f.pdf","referenced-files/bc1756642b57_P260902Rev04_MDL_Revised_Fee_Proposal_COMO_Majan_RT040_605e251f.pdf","https://comofollowup-ngbxwvy8.manus.space/manus-storage/P260902Rev04_MDL_Revised_Fee_Proposal_COMO_Majan_RT040_605e251f.pdf","511717","bc1756642b573d70c6460f8c7217754ec250a04838e7b7d31db695ef5cdc9c59","bc1756642b573d70c6460f8c7217754ec250a04838e7b7d31db695ef5cdc9c59","upload_unique_to_staging","referenced-files/bc1756642b57_P260902Rev04_MDL_Revised_Fee_Proposal_COMO_Majan_RT040_605e251f.pdf","none"
"68","Design_International_Executive_Speaking_Sheet_EN_e2887c15.pdf","referenced-files/be33fcde9e86_Design_International_Executive_Speaking_Sheet_EN_e2887c15.pdf","https://comofollowup-ngbxwvy8.manus.space/manus-storage/Design_International_Executive_Speaking_Sheet_EN_e2887c15.pdf","74515","be33fcde9e860e44d9aae90aa0b260060ec920ef012ce944d1c3b1d3b19b48db","be33fcde9e860e44d9aae90aa0b260060ec920ef012ce944d1c3b1d3b19b48db","upload_unique_to_staging","referenced-files/be33fcde9e86_Design_International_Executive_Speaking_Sheet_EN_e2887c15.pdf","none"
"69","2220001-updates_none-19a4c20165b4b19c1860f0336d5d47fc_a9088358.pcm","referenced-files/c1b2dbdd7c5c_2220001-updates_none-19a4c20165b4b19c1860f0336d5d47fc_a9088358.pcm","https://comofollowup-ngbxwvy8.manus.space/manus-storage/sara-briefings/2220001-updates_none-19a4c20165b4b19c1860f0336d5d47fc_a9088358.pcm","762358","c1b2dbdd7c5ce5513c84876b9efc2f4bde0f28533197af9f2fc5b828017d45b9","c1b2dbdd7c5ce5513c84876b9efc2f4bde0f28533197af9f2fc5b828017d45b9","upload_unique_to_staging","referenced-files/c1b2dbdd7c5c_2220001-updates_none-19a4c20165b4b19c1860f0336d5d47fc_a9088358.pcm","none"
"70","3540001-updates_only-c12e3e0de01fe8483eee236a0bbfc101_2e57e1ba.pcm","referenced-files/c4256b1cc9d5_3540001-updates_only-c12e3e0de01fe8483eee236a0bbfc101_2e57e1ba.pcm","https://comofollowup-ngbxwvy8.manus.space/manus-storage/sara-briefings/3540001-updates_only-c12e3e0de01fe8483eee236a0bbfc101_2e57e1ba.pcm","5432354","c4256b1cc9d568bf3e2900f0ccefd162a7766a6bf054b5c187c580c4b69cccee","c4256b1cc9d568bf3e2900f0ccefd162a7766a6bf054b5c187c580c4b69cccee","upload_unique_to_staging","referenced-files/c4256b1cc9d5_3540001-updates_only-c12e3e0de01fe8483eee236a0bbfc101_2e57e1ba.pcm","none"
"71","Majan_Meeting_Prep_Wael_18Sept_b401016c.docx","referenced-files/c59d29e52f26_Majan_Meeting_Prep_Wael_18Sept_b401016c.docx","https://comofollowup-ngbxwvy8.manus.space/manus-storage/Majan_Meeting_Prep_Wael_18Sept_b401016c.docx","14164","c59d29e52f268998ce7437765437bf60423c816a93e477b1d8b7e4a4f51ebf6d","c59d29e52f268998ce7437765437bf60423c816a93e477b1d8b7e4a4f51ebf6d","upload_unique_to_staging","referenced-files/c59d29e52f26_Majan_Meeting_Prep_Wael_18Sept_b401016c.docx","none"
"72","COMO_MDL_Rev04_Comparison_AR_d8a4109b.md","referenced-files/c9837d2d4467_COMO_MDL_Rev04_Comparison_AR_d8a4109b.md","https://comofollowup-ngbxwvy8.manus.space/manus-storage/COMO_MDL_Rev04_Comparison_AR_d8a4109b.md","16451","c9837d2d4467fb866c8538f410689e56e490d2336bb2a8f0bbc27f72861cfa59","c9837d2d4467fb866c8538f410689e56e490d2336bb2a8f0bbc27f72861cfa59","reuse_source_duplicate","local-assets/COMO_MDL_Rev04_Comparison_AR.md","none"
